"UNIT CODE","UNIT NAME","ORGAN CODE","ORGAN NAME","SUPERIOR ORGAN CODE","SUPERIOR ORGAN NAME"
135415,UA PROPRIA                                   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135416,UA ITABAIANA                                 ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135417,UA FORMOSO DO ARAGUAIA                       ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135457,CONAB - SEDE SUREG - RN                      ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135458,CONAB SEDE SUREG - ES                        ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135461,SUPUPERINTENDÊNCIA REG. DO EST. DE RONDÔNIA  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135476,SEDE SUREG - CONAB /PB                       ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135586,CONAB SEDE SUREG ALAGOAS                     ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135626,CONAB SUPERINTENDENCIA REGIONAL NO DF E ENTOR,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135629,CONAB SUPERINTENDENCIA REGIOANL DE SERGIPE   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
137036,FUNGECAU - DEPEA/DIRON                       ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
137037,FUNGECAU - DEPEA/ERARQ                       ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
137040,FUNGECAU - DEPEA/DIMAG                       ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
137041,FUNGECAU - DEPEA/DIMAR                       ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
138010,COMPANHIA NACIONAL DE ABASTECIMENTO-DIF.INT. ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135139,UNID.ESTOQUE ESTRATEGICO/RN                  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135140,NUCLEO ESTOQUE REGULADOR/RN - PGPM           ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135142,UNIDADE ESTOQUE ESTRATEGICO/GO               ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
